id,microchip,species,sex,size,potentDangerous,neighborhood
0056971-CMGF,978101081796500,CANINO,MACHO,GRANDE,false,C. BOLIVAR
0057291-CHPF,978101081927500,CANINO,HEMBRA,PEQUEÑO,false,KENNEDY
0057311-CHMF,966000101137500,CANINO,HEMBRA,MEDIANO,false,USME
0057501-FMMF,966000101057500,FELINO,MACHO,MEDIANO,false,C. BOLIVAR
0057901-FMMF,966000101097500,FELINO,MACHO,MEDIANO,false,SUBA
0057950-CHGF,900250000597500,CANINO,HEMBRA,GRANDE,false,P. ARANDA
0058221-FMPF,978101081228500,FELINO,MACHO,PEQUEÑO,false,USME
0059191-CMGT,978101081919500,CANINO,MACHO,GRANDE,true,KENNEDY
0060511-CHMIF,978101081150600,CANINO,HEMBRA,MINIATURA,false,KENNEDY
0060601-CMPF,966000101060600,CANINO,MACHO,PEQUEÑO,false,C. BOLIVAR
0060731-FHMF,941000021370600,FELINO,HEMBRA,MEDIANO,false,ENGATIVA
0061840-CMGF,900250000481600,CANINO,MACHO,GRANDE,false,KENNEDY
0062001-FMPF,966000101002600,FELINO,MACHO,PEQUEÑO,false,BOSA
0062291-CHMT,978101081922600,CANINO,HEMBRA,MEDIANO,true,LOS MARTIRES
0062511-CHMF,978101081152600,CANINO,HEMBRA,MEDIANO,false,BOSA
0062840-CMPF,900250000482600,CANINO,MACHO,PEQUEÑO,false,B. UNIDOS
0063021-CHGF,941000021203600,CANINO,HEMBRA,GRANDE,false,USME
0063311-FMPF,966000101133600,FELINO,MACHO,PEQUEÑO,false,SAN CRISTOBAL
0063511-FMMIF,978101081153600,FELINO,MACHO,MINIATURA,false,SUBA
0065042-CMMF,981100002405600,CANINO,MACHO,MEDIANO,false,USAQUEN
0065390-CMMIF,978101080935600,CANINO,MACHO,MINIATURA,false,FONTIBON
0067291-CMMF,978101081927600,CANINO,MACHO,MEDIANO,false,USME
0067401-FHMF,978101081047600,FELINO,HEMBRA,MEDIANO,false,C. BOLIVAR
0067501-FMMIF,966000101057600,FELINO,MACHO,MINIATURA,false,CHAPINERO
0067950-CMGF,900250000597600,CANINO,MACHO,GRANDE,false,C. BOLIVAR
0067971-CMPF,978101081797600,CANINO,MACHO,PEQUEÑO,false,C. BOLIVAR
0068291-CMPF,978101081928600,CANINO,MACHO,PEQUEÑO,false,ENGATIVA
0068401-FHPF,978101081048600,FELINO,HEMBRA,PEQUEÑO,false,P. ARANDA
0068950-CMMIF,900250000598600,CANINO,MACHO,MINIATURA,false,P. ARANDA
0070291-CMPF,978101081920700,CANINO,MACHO,PEQUEÑO,false,USAQUEN
0072840-CHGT,900250000482700,CANINO,HEMBRA,GRANDE,true,ENGATIVA
0073021-CMMIF,941000021203700,CANINO,MACHO,MINIATURA,false,C. BOLIVAR
0073311-CHMIF,966000101133700,CANINO,HEMBRA,MINIATURA,false,B. UNIDOS
0075311-FHPF,966000101135700,FELINO,HEMBRA,PEQUEÑO,false,BOSA
0076291-FMPF,978101081926700,FELINO,MACHO,PEQUEÑO,false,P. ARANDA
0076950-CHMF,900250000596700,CANINO,HEMBRA,MEDIANO,false,TUNJUELITO
0077191-CMMT,978101081917700,CANINO,MACHO,MEDIANO,true,ENGATIVA
0077291-CMMF,978101081927700,CANINO,MACHO,MEDIANO,false,C. BOLIVAR
0077431-CHPF,978101081347700,CANINO,HEMBRA,PEQUEÑO,false,USME
0077971-CHMF,978101081797700,CANINO,HEMBRA,MEDIANO,false,C. BOLIVAR
0078311-FMMF,966000101138700,FELINO,MACHO,MEDIANO,false,BOSA
0078401-FHMF,978101081048700,FELINO,HEMBRA,MEDIANO,false,SUBA
0078950-CMPF,900250000598700,CANINO,MACHO,PEQUEÑO,false,SUBA
0079501-CHMF,966000101059700,CANINO,HEMBRA,MEDIANO,false,KENNEDY
0080101-CHMIF,966000101010800,CANINO,HEMBRA,MINIATURA,false,P. ARANDA
0080291-CHGT,978101081920800,CANINO,HEMBRA,GRANDE,true,C. BOLIVAR
0080731-FHMIF,941000021370800,FELINO,HEMBRA,MINIATURA,false,USAQUEN
0082021-CHGF,941000021202800,CANINO,HEMBRA,GRANDE,false,ENGATIVA
0082840-FHMF,900250000482800,FELINO,HEMBRA,MEDIANO,false,R. URIBE
0083021-CHMF,941000021203800,CANINO,HEMBRA,MEDIANO,false,ENGATIVA
0083801-CHMF,978101081083800,CANINO,HEMBRA,MEDIANO,false,USME
0084000-FHMF,999111000004800,FELINO,HEMBRA,MEDIANO,false,KENNEDY
0084291-CHGF,978101081924800,CANINO,HEMBRA,GRANDE,false,CHAPINERO
0084421-FHPF,978101081244800,FELINO,HEMBRA,PEQUEÑO,false,KENNEDY
0085310-CHMF,96600910135800,CANINO,HEMBRA,MEDIANO,false,SUBA
0085920-FMGF,900113000295800,FELINO,MACHO,GRANDE,false,ENGATIVA
0086291-CHMF,978101081926800,CANINO,HEMBRA,MEDIANO,false,FONTIBON
0087191-FMMF,978101081917800,FELINO,MACHO,MEDIANO,false,R. URIBE
0087291-CMPF,978101081927800,CANINO,MACHO,PEQUEÑO,false,R. URIBE
0087501-CMMT,966000101057800,CANINO,MACHO,MEDIANO,true,USME
0088311-CMMF,966000101138800,CANINO,MACHO,MEDIANO,false,ENGATIVA
0089411-CMMIF,978101081149800,CANINO,MACHO,MINIATURA,false,BOSA
0089950-FHPF,900250000599800,FELINO,HEMBRA,PEQUEÑO,false,KENNEDY
0090291-CHMF,978101081920900,CANINO,HEMBRA,MEDIANO,false,USAQUEN
0090731-CHGT,941000021370900,CANINO,HEMBRA,GRANDE,true,KENNEDY
0092021-CHPF,941000021202900,CANINO,HEMBRA,PEQUEÑO,false,SUBA
0092840-CMMF,900250000482900,CANINO,MACHO,MEDIANO,false,TEUSAQUILLO
0094421-CHPF,978101081244900,CANINO,HEMBRA,PEQUEÑO,false,KENNEDY
0094511-CMPF,978101081154900,CANINO,MACHO,PEQUEÑO,false,FONTIBON
0094701-CHGF,978101081074900,CANINO,HEMBRA,GRANDE,false,USME
0096950-CMMF,900250000596900,CANINO,MACHO,MEDIANO,false,KENNEDY
0097111-CMGF,966000101117900,CANINO,MACHO,GRANDE,false,MUNICIPIOS ALEDAÑOS BOGOTA D.C.
0097191-CHMF,978101081917900,CANINO,HEMBRA,MEDIANO,false,KENNEDY
0097291-CMMF,978101081927900,CANINO,MACHO,MEDIANO,false,C. BOLIVAR
0097311-CHPT,966000101137900,CANINO,HEMBRA,PEQUEÑO,true,C. BOLIVAR
0097901-CHPF,966000101097900,CANINO,HEMBRA,PEQUEÑO,false,KENNEDY
0097950-FHPF,900250000597900,FELINO,HEMBRA,PEQUEÑO,false,BOSA
0098311-CHGT,966000101138900,CANINO,HEMBRA,GRANDE,true,ENGATIVA
0099001-CMGT,966000101009900,CANINO,MACHO,GRANDE,true,BOSA
0099191-CMMF,978101081919900,CANINO,MACHO,MEDIANO,false,KENNEDY
0099950-CHGF,900250000599900,CANINO,HEMBRA,GRANDE,false,USME
0100060-CHMF,900250000600010,CANINO,HEMBRA,MEDIANO,false,TUNJUELITO
0100101-CHMF,966000101010010,CANINO,HEMBRA,MEDIANO,false,SAN CRISTOBAL
0100291-CHPF,978101081920010,CANINO,HEMBRA,PEQUEÑO,false,C. BOLIVAR
0101840-CHPF,900250000481010,CANINO,HEMBRA,PEQUEÑO,false,ENGATIVA
0102291-CHMF,978101081922010,CANINO,HEMBRA,MEDIANO,false,TUNJUELITO
0103001-FHMF,966000101003010,FELINO,HEMBRA,MEDIANO,false,KENNEDY
0103021-FHPF,941000021203010,FELINO,HEMBRA,PEQUEÑO,false,SUBA
0104291-CMMIF,978101081924010,CANINO,MACHO,MINIATURA,false,KENNEDY
0106311-CHMIF,966000101136010,CANINO,HEMBRA,MINIATURA,false,BOSA
0107291-CMMF,978101081927010,CANINO,MACHO,MEDIANO,false,ENGATIVA
0107911-CHGF,978101081197010,CANINO,HEMBRA,GRANDE,false,ENGATIVA
0108501-CMMIF,966000101058010,CANINO,MACHO,MINIATURA,false,C. BOLIVAR
0108950-CHPT,900250000598010,CANINO,HEMBRA,PEQUEÑO,true,KENNEDY
0109311-CHMIF,966000101139010,CANINO,HEMBRA,MINIATURA,false,BOSA
0109880-CHPF,991001000889010,CANINO,HEMBRA,PEQUEÑO,false,B. UNIDOS
0111840-CHPF,900250000481110,CANINO,HEMBRA,PEQUEÑO,false,R. URIBE
0112001-CHGF,966000101002110,CANINO,HEMBRA,GRANDE,false,SAN CRISTOBAL
0114291-CHGF,978101081924110,CANINO,HEMBRA,GRANDE,false,BOSA
0116950-CMMIF,900250000596110,CANINO,MACHO,MINIATURA,false,B. UNIDOS
0117501-CHMT,966000101057110,CANINO,HEMBRA,MEDIANO,true,C. BOLIVAR
0117701-CHMF,978101081077110,CANINO,HEMBRA,MEDIANO,false,USME
0117950-CHMF,900250000597110,CANINO,HEMBRA,MEDIANO,false,C. BOLIVAR
0118311-CMMF,966000101138110,CANINO,MACHO,MEDIANO,false,BOSA
0118401-FHPF,978101081048110,FELINO,HEMBRA,PEQUEÑO,false,USME
0118950-FHPF,900250000598110,FELINO,HEMBRA,PEQUEÑO,false,KENNEDY
0119880-CMPF,991001000889110,CANINO,MACHO,PEQUEÑO,false,SUBA
0120101-FMGF,966000101010210,FELINO,MACHO,GRANDE,false,C. BOLIVAR
0120291-CHPF,978101081920210,CANINO,HEMBRA,PEQUEÑO,false,FONTIBON
0121731-CHMIF,941000021371210,CANINO,HEMBRA,MINIATURA,false,C. BOLIVAR
0121840-CHMIF,900250000481210,CANINO,HEMBRA,MINIATURA,false,KENNEDY
0122081-CHGF,978101081802210,CANINO,HEMBRA,GRANDE,false,P. ARANDA
0122291-FMMIF,978101081922210,FELINO,MACHO,MINIATURA,false,ENGATIVA
0123001-FHMF,966000101003210,FELINO,HEMBRA,MEDIANO,false,USME
0123021-CHMF,941000021203210,CANINO,HEMBRA,MEDIANO,false,KENNEDY
0123840-FMPF,900250000483210,FELINO,MACHO,PEQUEÑO,false,BOSA
0124421-CMMF,978101081244210,CANINO,MACHO,MEDIANO,false,P. ARANDA
0125311-CHGF,991001001135210,CANINO,HEMBRA,GRANDE,false,ENGATIVA
0125390-CHMGF,978101080935210,CANINO,HEMBRA,MUY GRANDE,false,KENNEDY
0125511-FHMF,978101081155210,FELINO,HEMBRA,MEDIANO,false,SAN CRISTOBAL
0126950-CHPF,900250000596210,CANINO,HEMBRA,PEQUEÑO,false,USME
0127291-CMGF,978101081927210,CANINO,MACHO,GRANDE,false,C. BOLIVAR
0127950-CMGT,900250000597210,CANINO,MACHO,GRANDE,true,C. BOLIVAR
0128401-CHMF,978101081048210,CANINO,HEMBRA,MEDIANO,false,USME
0128950-CHGT,900250000598210,CANINO,HEMBRA,GRANDE,true,USME
0129060-CMMF,900250000609210,CANINO,MACHO,MEDIANO,false,ENGATIVA
0129501-CHMF,966000101059210,CANINO,HEMBRA,MEDIANO,false,ENGATIVA
0129880-CHGF,991001000889210,CANINO,HEMBRA,GRANDE,false,TEUSAQUILLO
0130291-CHMF,978101081920310,CANINO,HEMBRA,MEDIANO,false,TEUSAQUILLO
0131101-CHGT,966000101011310,CANINO,HEMBRA,GRANDE,true,BOSA
0131840-CMMIF,900250000481310,CANINO,MACHO,MINIATURA,false,BOSA
0132001-CMMF,966000101002310,CANINO,MACHO,MEDIANO,false,KENNEDY
0132840-FMMIF,900250000482310,FELINO,MACHO,MINIATURA,false,USME
0133021-CMMIF,941000021203310,CANINO,MACHO,MINIATURA,false,ENGATIVA
